Name	Count	Percentage
Finnish;English;German;Russian;Hungarian	     2	 0.00
Finnish;English;Hebrew	     2	 0.00
Finnish;English;Korean	     2	 0.00
Finnish;English;Norwegian	     2	 0.00
Finnish;English;Russian;Estonian	     2	 0.00
Finnish;English;Russian;Ukrainian	     2	 0.00
Finnish;English;Somali	     2	 0.00
Finnish;English;Spanish;Portuguese;Arabic;Japanese;Korean;Russian;French;Swedish;Italian;German	     2	 0.00
Finnish;English;Swedish;Estonian	     2	 0.00
Finnish;English;Tatar	     2	 0.00
Finnish;English;Thai	     2	 0.00
Finnish;Erzya	     2	 0.00
Finnish;Estonian;German	     2	 0.00
Finnish;Estonian;Hungarian	     2	 0.00
Finnish;Estonian;Italian	     2	 0.00
Finnish;French;Russian	     2	 0.00
Finnish;French;Swedish;German;English;Russian	     2	 0.00
Finnish;German;Japanese	     2	 0.00
Finnish;German;Undetermined	     2	 0.00
Finnish;Hungarian;Latin	     2	 0.00
Finnish;Latin;German	     2	 0.00
Finnish;Multiple languages;English	     2	 0.00
Finnish;Northern Sami;English;German	     2	 0.00
Finnish;Northern Sami;Sami	     2	 0.00
Finnish;Norwegian;French;Swedish;English;Russian;Northern Sami	     2	 0.00
Finnish;Norwegian;Swedish	     2	 0.00
Finnish;Russian;English;Spanish	     2	 0.00
Finnish;Russian;Finno-Ugrian (Other)	     2	 0.00
Finnish;Sami;German	     2	 0.00
Finnish;Spanish;English	     2	 0.00
Finnish;Swedish;Danish;English;German	     2	 0.00
Finnish;Swedish;Danish;Icelandic;Norwegian;English	     2	 0.00
Finnish;Swedish;Danish;Norwegian;Icelandic	     2	 0.00
Finnish;Swedish;Danish;Norwegian;Icelandic;English	     2	 0.00
Finnish;Swedish;English;Esperanto	     2	 0.00
Finnish;Swedish;English;Estonian;Russian	     2	 0.00
Finnish;Swedish;English;German;French;Estonian;Russian	     2	 0.00
Finnish;Swedish;English;German;Latin	     2	 0.00
Finnish;Swedish;English;German;Russian;French	     2	 0.00
Finnish;Swedish;English;German;Spanish	     2	 0.00
Finnish;Swedish;English;Northern Sami	     2	 0.00
Finnish;Swedish;English;Norwegian	     2	 0.00
Finnish;Swedish;English;Russian;Sami	     2	 0.00
Finnish;Swedish;English;Sami	     2	 0.00
Finnish;Swedish;English;Spanish	     2	 0.00
Finnish;Swedish;Estonian;English	     2	 0.00
Finnish;Swedish;French;German	     2	 0.00
Finnish;Swedish;French;Russian	     2	 0.00
Finnish;Swedish;French;Tibetan	     2	 0.00
Finnish;Swedish;German;English;Russian	     2	 0.00
Finnish;Swedish;Latin;Greek, Ancient (to 1453)	     2	 0.00
Finnish;Swedish;Norwegian;English	     2	 0.00
Finno-Ugrian (Other);Karelian;Russian	     2	 0.00
French;Arabic	     2	 0.00
French;Finnish;Swedish	     2	 0.00
French;German;English	     2	 0.00
French;German;Russian	     2	 0.00
French;Italian;Spanish;Portuguese	     2	 0.00
German;Danish	     2	 0.00
German;English;Italian	     2	 0.00
German;Finnish;English	     2	 0.00
German;Finnish;Swedish;Russian	     2	 0.00
German;French;English;Italian	     2	 0.00
German;Latin;Estonian	     2	 0.00
German;Mongolian	     2	 0.00
German;Norwegian	     2	 0.00
German;Spanish	     2	 0.00
German;Sumerian;Akkadian	     2	 0.00
German;Swedish;Finnish	     2	 0.00
German;Swedish;Latin	     2	 0.00
Greek, Ancient (to 1453);English	     2	 0.00
Greek, Ancient (to 1453);Swedish	     2	 0.00
Greek, Modern (1453-);Finnish;English	     2	 0.00
Gujarati	     2	 0.00
Hindi;Finnish	     2	 0.00
Hungarian;English;Finnish	     2	 0.00
Indonesian	     2	 0.00
Iranian (Other)	     2	 0.00
Italian;English;French	     2	 0.00
Italian;Finnish;English	     2	 0.00
Italian;Spanish	     2	 0.00
Kalâtdlisut	     2	 0.00
Karelian;Church Slavic	     2	 0.00
Kuanyama	     2	 0.00
Latin;German;Greek, Ancient (to 1453)	     2	 0.00
Latin;Greek, Ancient (to 1453);French	     2	 0.00
Latin;Greek, Ancient (to 1453);French;Swedish	     2	 0.00
Latin;Greek, Ancient (to 1453);Hebrew	     2	 0.00
Latin;Greek, Ancient (to 1453);Hebrew;Swedish	     2	 0.00
Latin;Greek, Ancient (to 1453);Swedish;French	     2	 0.00
Latin;Italian;Greek, Ancient (to 1453);French	     2	 0.00
Latin;Russian	     2	 0.00
Latin;Swedish;English	     2	 0.00
Latin;Swedish;French;Finnish	     2	 0.00
Latin;Swedish;German;Finnish	     2	 0.00
Latin;Swedish;Russian	     2	 0.00
Lithuanian;Finnish	     2	 0.00
Lule Sami	     2	 0.00
Luo (Kenya and Tanzania)	     2	 0.00
Macedonian	     2	 0.00
Mari;Finnish	     2	 0.00
Mari;German	     2	 0.00
Mongolian	     2	 0.00
Multiple languages;Swedish;Finnish	     2	 0.00
Northern Sami;Inari Sami;Skolt Sami	     2	 0.00
Norwegian;Swedish;Danish;Finnish;Multiple languages	     2	 0.00
Nyanja	     2	 0.00
Oromo;English	     2	 0.00
Panjabi	     2	 0.00
Pushto	     2	 0.00
Russian;Church Slavic	     2	 0.00
Russian;English;German	     2	 0.00
Russian;English;German;Hungarian;Finnish	     2	 0.00
Russian;Finnish;German	     2	 0.00
