original	language_count	multilingual	languages	language_primary	Count	Percentage
Latin;Swedish;Greek, Ancient (to 1453)	 3	TRUE	Latin;Swedish;Greek, Ancient (to 1453)	Latin	    1	0
Greek, Ancient (to 1453);Latin;Swedish	 3	TRUE	Greek, Ancient (to 1453);Latin;Swedish	Greek, Ancient (to 1453)	    1	0
Danish;English	 2	TRUE	Danish;English	Danish	    1	0
Finnish;French;Swedish;Russian	 4	TRUE	Finnish;French;Swedish;Russian	Finnish	    1	0
Swedish;English;French	 3	TRUE	Swedish;English;French	Swedish	    1	0
French;Finnish;German	 3	TRUE	French;Finnish;German	French	    1	0
English;Sanskrit	 2	TRUE	English;Sanskrit	English	    1	0
English;Danish;Finnish;Swedish;Icelandic;German;French;Russian;Spanish;Dutch;Greek, Modern (1453-);Hungarian;Low German;Polish	14	TRUE	English;Danish;Finnish;Swedish;Icelandic;German;French;Russian;Spanish;Dutch;Greek, Modern (1453-);Hungarian;Low German;Polish	English	    1	0
Swedish;Old Norse	 2	TRUE	Swedish;Old Norse	Swedish	    1	0
Swedish;Latin;Greek, Ancient (to 1453)	 3	TRUE	Swedish;Latin;Greek, Ancient (to 1453)	Swedish	    1	0
Russian;Multiple languages	 2	TRUE	Russian;Multiple languages	Russian	    1	0
Finno-Ugrian (Other);French	 2	TRUE	Finno-Ugrian (Other);French	Finno-Ugrian (Other)	    1	0
Russian;Swedish;German;French	 4	TRUE	Russian;Swedish;German;French	Russian	    1	0
Swedish;German;Finnish;English	 4	TRUE	Swedish;German;Finnish;English	Swedish	    1	0
Ido;Artificial (Other);Swedish	 3	TRUE	Ido;Artificial (Other);Swedish	Ido	    1	0
German;English;Russian	 3	TRUE	German;English;Russian	German	    1	0
German;French;Danish	 3	TRUE	German;French;Danish	German	    1	0
French;Finnish;Swedish	 3	TRUE	French;Finnish;Swedish	French	    1	0
Finnish;Greek, Ancient (to 1453)	 2	TRUE	Finnish;Greek, Ancient (to 1453)	Finnish	    1	0
Ossetic	 1	FALSE	Ossetic	Ossetic	    1	0
Germanic (Other);Latin	 2	TRUE	Germanic (Other);Latin	Germanic (Other)	    1	0
Moksha	 1	FALSE	Moksha	Moksha	    1	0
Finnish;Swedish;German;French;Russian	 5	TRUE	Finnish;Swedish;German;French;Russian	Finnish	    1	0
Latin;Russian;Swedish	 3	TRUE	Latin;Russian;Swedish	Latin	    1	0
Finnish;Sami;German	 3	TRUE	Finnish;Sami;German	Finnish	    1	0
Swedish;Latin;French	 3	TRUE	Swedish;Latin;French	Swedish	    1	0
Swedish;English;German;French;Russian;Italian	 6	TRUE	Swedish;English;German;French;Russian;Italian	Swedish	    1	0
Finnish;German;Undetermined	 3	TRUE	Finnish;German;Undetermined	Finnish	    1	0
Swedish;Russian;Finnish;German	 4	TRUE	Swedish;Russian;Finnish;German	Swedish	    1	0
Russian;Finnish;Swedish;German	 4	TRUE	Russian;Finnish;Swedish;German	Russian	    1	0
German;Latin	 2	TRUE	German;Latin	German	    1	0
Finnish;Swedish;German;Danish	 4	TRUE	Finnish;Swedish;German;Danish	Finnish	    1	0
English;German;French	 3	TRUE	English;German;French	English	    1	0
Finnish;Swedish;Russian;English;French	 5	TRUE	Finnish;Swedish;Russian;English;French	Finnish	    1	0
Finnish;German;Latin	 3	TRUE	Finnish;German;Latin	Finnish	    1	0
Sami;Northern Sami	 2	TRUE	Sami;Northern Sami	Sami	    1	0
Swedish;French;Latin	 3	TRUE	Swedish;French;Latin	Swedish	    1	0
Finnish;French;Swedish;Russian;German	 5	TRUE	Finnish;French;Swedish;Russian;German	Finnish	    1	0
Latin;German	 2	TRUE	Latin;German	Latin	    1	0
Finnish;Swedish;Hungarian;French	 4	TRUE	Finnish;Swedish;Hungarian;French	Finnish	    1	0
Finnish;Swedish;English;French;German;Russian	 6	TRUE	Finnish;Swedish;English;French;German;Russian	Finnish	    1	0
Finnish;Swedish;Greek, Modern (1453-)	 3	TRUE	Finnish;Swedish;Greek, Modern (1453-)	Finnish	    1	0
Swedish;German;Danish	 3	TRUE	Swedish;German;Danish	Swedish	    1	0
Russian;Esperanto	 2	TRUE	Russian;Esperanto	Russian	    1	0
Swedish;Latin;Russian	 3	TRUE	Swedish;Latin;Russian	Swedish	    1	0
Swedish;Norwegian;Danish	 3	TRUE	Swedish;Norwegian;Danish	Swedish	    1	0
