melinda_id	original	publication_year	Count
(FI-MELINDA)018200186	20uu-9999	NA	1
(FI-MELINDA)018199429	2099-	NA	1
(FI-MELINDA)018175234	2099-	NA	1
(FI-MELINDA)018175217	2099-	NA	1
(FI-MELINDA)018175097	2099-	NA	1
(FI-MELINDA)018175093	2099-	NA	1
(FI-MELINDA)018174966	2099-	NA	1
(FI-MELINDA)018174129	2099-	NA	1
(FI-MELINDA)018174064	2099-	NA	1
(FI-MELINDA)017442874	196?-9999	NA	1
(FI-MELINDA)017439832	2099-	NA	1
(FI-MELINDA)017439827	2099-	NA	1
(FI-MELINDA)017439811	2099-	NA	1
(FI-MELINDA)017431085	2099-	NA	1
(FI-MELINDA)017429775	2099-	NA	1
(FI-MELINDA)017427356	2099-	NA	1
(FI-MELINDA)017427306	2099-	NA	1
(FI-MELINDA)017426659	2099-	NA	1
(FI-MELINDA)017426655	2099-	NA	1
(FI-MELINDA)017426637	2099-	NA	1
(FI-MELINDA)017425863	2099-	NA	1
(FI-MELINDA)017425860	2099-	NA	1
(FI-MELINDA)017425857	2099-	NA	1
(FI-MELINDA)017425855	2099-	NA	1
(FI-MELINDA)017425853	2099-	NA	1
(FI-MELINDA)017402791	2099-	NA	1
(FI-MELINDA)017396221	20uu-9999	NA	1
(FI-MELINDA)017384835	20uu-9999	NA	1
(FI-MELINDA)017381130	20uu-9999	NA	1
(FI-MELINDA)017361958	2099-	NA	1
(FI-MELINDA)017242553	20uu-9999	NA	1
(FI-MELINDA)017242552	20uu-9999	NA	1
(FI-MELINDA)017242550	20uu-9999	NA	1
(FI-MELINDA)017242518	20uu-9999	NA	1
(FI-MELINDA)000935833	uuuu-	NA	1
(FI-MELINDA)000931574	uuuu-	NA	1
(FI-MELINDA)016611307	1909-1899	NA	1
(FI-MELINDA)016606102	||||-    	NA	1
(FI-MELINDA)016606101	||||-    	NA	1
(FI-MELINDA)016606097	||||-    	NA	1
(FI-MELINDA)016606071	||||-    	NA	1
(FI-MELINDA)016606069	||||-    	NA	1
(FI-MELINDA)016606056	||||-    	NA	1
(FI-MELINDA)000707125	1976-1900	NA	1
(FI-MELINDA)000705280	76-uuuu	NA	1
(FI-MELINDA)016788023	2099-	NA	1
(FI-MELINDA)016787482	2119-	NA	1
(FI-MELINDA)016782971	2013-1897	NA	1
(FI-MELINDA)000529018	2007-2000	NA	1
(FI-MELINDA)000527813	2007-2000	NA	1
(FI-MELINDA)000905586	uuuu-    	NA	1
(FI-MELINDA)000897350	uuuu-uuuu	NA	1
(FI-MELINDA)003665954	1909-1900	NA	1
