melinda_id;original;cleaned;converted;udk_count
003738264;39|391|639.1;39;391;639.1;Perinnetieteet. Etnologia. Kansatiede. Kansanrunous. Folkloristiikka;Puvut. Vaatetus. Kansallispuvut. Muoti. Korut;Metsästys. Riistatalous. Riistanhoito;3
003738680;;NA;NA;0
003738973;371;371;Kasvatuksen ja opetuksen organisaatio. Koulutoimi. Opetusmenetelmät ;1
003739086;323.381.3|334.5;323.381.3;334.5;Undetermined;Undetermined;2
003739088;07|342|070.13|070.13;07;342;070.13;Lehdistö. Journalismi. Sanomalehdet ;Julkisoikeus. Valtio-oikeus. Valtiosääntöoikeus. Perusoikeudet. Kansalaisoikeudet. Ihmisoikeudet ;Undetermined;3
003739233;;NA;NA;0
003740121;23/28;23/28;Undetermined;1
003740738;1|141;1;141;Filosofia ;Erilaiset näkökannat;2
003741197;;NA;NA;0
003741615;894.541;894.541;Suomenkielinen kirjallisuus;1
003741855;332.72|631.1;332.72;631.1;Undetermined;Maatilan hoito ja organisointi (maatalousekonomia);2
003741879;342.4;342.4;Perustuslait. Lakiasäätävät kokoukset. Kansalliskokoukset;1
003741890;347.2;347.2;Varallisuusoikeus. Esineoikeudet. Esineet. Irtaimisto;1
003742841;;NA;NA;0
003742866;;NA;NA;0
003743508;284.1|2;284.1;2;Undetermined;Uskonto. Teologia;2
003743510;;NA;NA;0
003744065;;NA;NA;0
003745262;27|2;27;2;Yleinen kirkkohistoria. Patristiikka;Uskonto. Teologia;2
003746459;;NA;NA;0
003747026;;NA;NA;0
003747472;894.541;894.541;Suomenkielinen kirjallisuus;1
003747521;839.79|839.79;839.79;Suomenruotsalainen kirjallisuus;1
003747671;;NA;NA;0
003747819;830;830;Saksankielinen kirjallisuus. Jiddišinkielinen kirjallisuus;1
003747827;839.79;839.79;Suomenruotsalainen kirjallisuus;1
003747829;840;840;Ranskankielinen kirjallisuus;1
003747910;830|830|830;830;Saksankielinen kirjallisuus. Jiddišinkielinen kirjallisuus;1
003747947;840;840;Ranskankielinen kirjallisuus;1
003747948;840;840;Ranskankielinen kirjallisuus;1
003747963;894.541;894.541;Suomenkielinen kirjallisuus;1
003747990;830;830;Saksankielinen kirjallisuus. Jiddišinkielinen kirjallisuus;1
