Name	Count	Percentage
Chinese;English	     4	 0.00
Danish;Finnish;Norwegian;Swedish	     4	 0.00
Danish;Swedish;English	     4	 0.00
Dutch;English	     4	 0.00
Dutch;Esperanto	     4	 0.00
English;Bulgarian	     4	 0.00
English;Finnish;Swedish;German	     4	 0.00
English;Finnish;Swedish;Norwegian;Danish;Icelandic	     4	 0.00
English;German;Finnish	     4	 0.00
English;German;Multiple languages	     4	 0.00
English;Sanskrit	     4	 0.00
Estonian;Finnish;English	     4	 0.00
Finnish;Danish;English	     4	 0.00
Finnish;English;Dutch	     4	 0.00
Finnish;English;French;Swedish	     4	 0.00
Finnish;English;German;Japanese	     4	 0.00
Finnish;English;German;Russian;Hungarian;Estonian;Finno-Ugrian (Other)	     4	 0.00
Finnish;English;Hungarian	     4	 0.00
Finnish;English;Multiple languages;Swedish	     4	 0.00
Finnish;English;Russian;Multiple languages	     4	 0.00
Finnish;Galician	     4	 0.00
Finnish;Icelandic	     4	 0.00
Finnish;Indonesian	     4	 0.00
Finnish;Latin;French	     4	 0.00
Finnish;Mari	     4	 0.00
Finnish;Russian;Multiple languages	     4	 0.00
Finnish;Sami;Northern Sami	     4	 0.00
Finnish;Sami;Norwegian	     4	 0.00
Finnish;Swedish;English;Estonian	     4	 0.00
Finnish;Swedish;English;French;Russian	     4	 0.00
Finnish;Swedish;English;German;French;Russian;Spanish	     4	 0.00
Finnish;Swedish;English;Latin	     4	 0.00
Finnish;Swedish;Norwegian;English;German;French	     4	 0.00
Finno-Ugrian (Other);German	     4	 0.00
Finno-Ugrian (Other);German;Russian	     4	 0.00
French, Old (ca. 842-1300)	     4	 0.00
French;Spanish;Italian	     4	 0.00
Georgian	     4	 0.00
German;Finnish;English;French	     4	 0.00
German;Greek, Ancient (to 1453)	     4	 0.00
Greek, Modern (1453-);English	     4	 0.00
Hindi	     4	 0.00
Icelandic;Finnish	     4	 0.00
Inari Sami;Sami;English	     4	 0.00
Indic (Other)	     4	 0.00
Italian;Latin	     4	 0.00
Latvian;English	     4	 0.00
Malay	     4	 0.00
Norwegian;Sami	     4	 0.00
Polish;English	     4	 0.00
Russian;English;Finnish	     4	 0.00
Russian;Finnish;Multiple languages	     4	 0.00
Russian;German	     4	 0.00
Sami;Norwegian;Finnish	     4	 0.00
Sami;Skolt Sami;Finnish	     4	 0.00
Skolt Sami;Finnish	     4	 0.00
Somali;English	     4	 0.00
Southern Sami	     4	 0.00
Swedish;Danish;Icelandic;Norwegian	     4	 0.00
Swedish;English;Russian	     4	 0.00
Swedish;Finnish;Norwegian	     4	 0.00
Swedish;French;German	     4	 0.00
Swedish;German;Latin	     4	 0.00
Swedish;Germanic (Other)	     4	 0.00
Swedish;Latin;Finnish	     4	 0.00
Swedish;Norwegian;Danish;Icelandic	     4	 0.00
Swedish;Undetermined	     4	 0.00
Yiddish	     4	 0.00
Afrikaans;Ndonga	     3	 0.00
Albanian;Finnish	     3	 0.00
Amharic;Finnish	     3	 0.00
Arabic;English	     3	 0.00
Croatian;Finnish	     3	 0.00
Danish;Finnish;English	     3	 0.00
Danish;Finnish;Swedish	     3	 0.00
Danish;German	     3	 0.00
Danish;Swedish;Finnish	     3	 0.00
English;French;German;Finnish	     3	 0.00
English;French;German;Italian	     3	 0.00
English;German;French;Danish	     3	 0.00
English;German;French;Italian	     3	 0.00
English;German;French;Japanese	     3	 0.00
English;German;Spanish	     3	 0.00
English;German;Swedish;Finnish	     3	 0.00
English;Indic (Other)	     3	 0.00
English;Korean	     3	 0.00
English;Latvian	     3	 0.00
English;Mongolian	     3	 0.00
English;Russian;Finnish	     3	 0.00
English;Russian;German	     3	 0.00
English;Slovenian	     3	 0.00
English;Somali	     3	 0.00
English;Swedish;German;Finnish	     3	 0.00
English;Swedish;Norwegian	     3	 0.00
Esperanto;Swedish	     3	 0.00
Estonian;Finnish;English;Russian;Multiple languages	     3	 0.00
Estonian;Russian;Finnish	     3	 0.00
Finnish;Burmese	     3	 0.00
Finnish;Church Slavic	     3	 0.00
Finnish;Danish;Icelandic;English	     3	 0.00
Finnish;Danish;Norwegian	     3	 0.00
Finnish;Danish;Norwegian;Swedish	     3	 0.00
Finnish;English;French;German;Italian;Portuguese;Spanish	     3	 0.00
Finnish;English;French;German;Swedish	     3	 0.00
Finnish;English;French;Multiple languages	     3	 0.00
Finnish;English;French;Spanish	     3	 0.00
Finnish;English;German;French;Italian	     3	 0.00
Finnish;English;German;French;Spanish;Italian	     3	 0.00
Finnish;English;German;Multiple languages	     3	 0.00
Finnish;English;Latin;Multiple languages	     3	 0.00
Finnish;English;Northern Sami	     3	 0.00
Finnish;English;Persian	     3	 0.00
Finnish;English;Portuguese	     3	 0.00
Finnish;English;Sami	     3	 0.00
Finnish;English;Swedish;Russian	     3	 0.00
Finnish;English;Ukrainian	     3	 0.00
Finnish;Filipino	     3	 0.00
Finnish;French;Undetermined	     3	 0.00
Finnish;Italian;English	     3	 0.00
Finnish;Lithuanian	     3	 0.00
Finnish;Portuguese;English	     3	 0.00
Finnish;Russian;Estonian	     3	 0.00
Finnish;Sami;Northern Sami;English	     3	 0.00
