melinda_id	id2	field008_6	publication_status	original	publication_year
1012201	1012201|FCC006135662	d	Continuing resource ceased publication	198u 198u	NA
1012842	1012842|FCC006138241	c	Continuing resource currently published	201u 9999	NA
1024879	1024879|FCC006210417	s	Single known date/probable date	2112	NA
1028224	1028224|FCC006263484	c	Continuing resource currently published	200u 9999	NA
1030314	1030314|FCC006400418	c	Continuing resource currently published	201u 9999	NA
1030561	1030561|FCC006401260	s	Single known date/probable date	    	NA
1031334	1031334|FCC006425499	s	Single known date/probable date	200u	NA
1036058	1036058|FCC006428839	d	Continuing resource ceased publication	198u 199u	NA
1036093	1036093|FCC006428872	c	Continuing resource currently published	19uu 9999	NA
1036155	1036155|FCC006429279	c	Continuing resource currently published	200u 9999	NA
1036713	1036713|FCC006443900	c	Continuing resource currently published	200u 9999	NA
1036726	1036726|FCC006443904	c	Continuing resource currently published	200u 9999	NA
1036750	1036750|FCC006443929	c	Continuing resource currently published	200u 9999	NA
1036752	1036752|FCC006443930	c	Continuing resource currently published	200u 9999	NA
1039101	1039101|FCC006458122	c	Continuing resource currently published	20uu 9999	NA
1039132	1039132|FCC006458160	c	Continuing resource currently published	20uu 9999	NA
1039200	1039200|FCC006458190	c	Continuing resource currently published	20uu 9999	NA
1039376	FCC006458703|1039376	d	Continuing resource ceased publication	1994 1990	NA
1039409	1039409|FCC006458744	c	Continuing resource currently published	199u 9999	NA
1041165	1041165|FCC006514422	c	Continuing resource currently published	19uu 9999	NA
1043970	FCC006553518|1043970	r	Reprint/reissue date and original date	    	NA
1044054	FCC006553693|1044054	c	Continuing resource currently published	20uu 9999	NA
1044066	FCC006553715|1044066	c	Continuing resource currently published	20uu 9999	NA
1045451	FCC006615551|1042424|1045451	s	Single known date/probable date	    	NA
1050845	FCC006774320|1050845	d	Continuing resource ceased publication	201u 2014	NA
1051852	FCC006802903|1051852	d	Continuing resource ceased publication	200u 2020	NA
105303	105303|FCC000651808	s	Single known date/probable date	uuuu	NA
1054042	FCC006826994|1054042	c	Continuing resource currently published	200u 9999	NA
1078884	1078884	s	Single known date/probable date	    	NA
1079257	FCC007854672|1079257	c	Continuing resource currently published	20uu 9999	NA
1092808	FCC009372536|1092808	q	Questionable date	    	NA
1096455	FCC009584254|1096455	s	Single known date/probable date	uuuu	NA
1098148	FCC009590466|1098148	s	Single known date/probable date	uuuu	NA
1098171	FCC009590660|1098171	s	Single known date/probable date	uuuu	NA
1098200	FCC009590945|1098200	s	Single known date/probable date	uuuu	NA
1098205	FCC009590964|1098205	s	Single known date/probable date	uuuu	NA
1098379	FCC009591610|1098379	s	Single known date/probable date	uuuu	NA
1098409	FCC009591739|1098409	s	Single known date/probable date	uuuu	NA
1098652	FCC009592650|1098652	s	Single known date/probable date	uuuu	NA
1098666	FCC009592746|1098666	s	Single known date/probable date	uuuu	NA
1098675	FCC009592778|1098675	s	Single known date/probable date	uuuu	NA
1098677	FCC009592781|1098677	s	Single known date/probable date	uuuu	NA
1098779	FCC009592970|1098779	s	Single known date/probable date	uuuu	NA
1098783	FCC009592988|1098783	s	Single known date/probable date	uuuu	NA
1098929	FCC009593429|1098929	s	Single known date/probable date	uuuu	NA
1098935	FCC009593460|1098935	s	Single known date/probable date	uuuu	NA
1098964	FCC009593677|1098964	s	Single known date/probable date	uuuu	NA
1098969	FCC009593698|1098969	s	Single known date/probable date	uuuu	NA
1099120	FCC009594753|1099120	s	Single known date/probable date	uuuu	NA
1099140	FCC009594884|1099140	s	Single known date/probable date	uuuu	NA
1099144	FCC009594910|1099144	s	Single known date/probable date	uuuu	NA
1099215	FCC009595632|1099215	s	Single known date/probable date	uuuu	NA
1099217	FCC009595635|1099217	s	Single known date/probable date	uuuu	NA
1099221	FCC009595639|1099221	s	Single known date/probable date	uuuu	NA
1099424	FCC009596206|1099424	s	Single known date/probable date	uuuu	NA
1099470	FCC009596430|1099470	s	Single known date/probable date	uuuu	NA
1099488	FCC009596515|1099488	s	Single known date/probable date	uuuu	NA
1099502	FCC009596528|1099502	s	Single known date/probable date	uuuu	NA
1099504	FCC009596541|1099504	s	Single known date/probable date	uuuu	NA
1099549	FCC009596633|1099549	s	Single known date/probable date	uuuu	NA
1099550	FCC009596634|1099550	s	Single known date/probable date	uuuu	NA
1100084	FCC009603961|1100084	s	Single known date/probable date	uuuu	NA
1100483	FCC009776553|1100483	s	Single known date/probable date	uuuu	NA
