melinda_id publication_year n
(FI-MELINDA)000700421 1916 1
(FI-MELINDA)000700423 1903 1
(FI-MELINDA)000700425 1890 1
(FI-MELINDA)000700426 1868 1
(FI-MELINDA)000700430 1905 1
(FI-MELINDA)000700434 1910 1
(FI-MELINDA)000700435 1909 1
(FI-MELINDA)000700440 1908 1
(FI-MELINDA)000700441 1884 1
(FI-MELINDA)000700442 1905 1
(FI-MELINDA)000700444 1898 1
(FI-MELINDA)000700446 1889 1
(FI-MELINDA)000700449 1898 1
(FI-MELINDA)000700450 1910 1
(FI-MELINDA)000700454 1884 1
(FI-MELINDA)000700455 1896 1
(FI-MELINDA)000700460 1885 1
(FI-MELINDA)000700461 1867 1
(FI-MELINDA)000700462 1880 1
(FI-MELINDA)000700465 1891 1
(FI-MELINDA)000700469 1911 1
(FI-MELINDA)000700477 1909 1
(FI-MELINDA)000700479 1907 1
(FI-MELINDA)000700495 1902 1
(FI-MELINDA)000700497 1891 1
(FI-MELINDA)000700498 1889 1
(FI-MELINDA)000700502 1915 1
(FI-MELINDA)000700504 1906 1
(FI-MELINDA)000700506 1902 1
(FI-MELINDA)000700517 1907 1
(FI-MELINDA)000700520 1914 1
(FI-MELINDA)000700528 1908 1
(FI-MELINDA)000700530 1896 1
(FI-MELINDA)000700534 1912 1
(FI-MELINDA)000700535 1878 1
(FI-MELINDA)000700536 1884 1
(FI-MELINDA)000700551 1902 1
(FI-MELINDA)000700552 1897 1
(FI-MELINDA)000700553 1896 1
(FI-MELINDA)000700558 1907 1
(FI-MELINDA)000700559 1893 1
(FI-MELINDA)000700568 1911 1
(FI-MELINDA)000700584 1916 1
(FI-MELINDA)000700590 1910 1
(FI-MELINDA)000700600 1893 1
(FI-MELINDA)000700601 1909 1
(FI-MELINDA)000700604 1910 1
(FI-MELINDA)000700612 1913 1
(FI-MELINDA)000700614 1827 1
(FI-MELINDA)000700616 1910 1
(FI-MELINDA)000700618 1913 1
(FI-MELINDA)000700624 1906 1
(FI-MELINDA)000700639 1914 1
(FI-MELINDA)000700654 1911 1
(FI-MELINDA)000700669 1910 1
(FI-MELINDA)000700678 1916 1
(FI-MELINDA)000700683 1913 1
(FI-MELINDA)000700689 1899 1
(FI-MELINDA)000700700 1909 1
(FI-MELINDA)000700703 1913 1
(FI-MELINDA)000700705 1903 1
(FI-MELINDA)000700706 1912 1
(FI-MELINDA)000700707 1915 1
(FI-MELINDA)000700713 1914 1
(FI-MELINDA)000700716 1902 1
(FI-MELINDA)000700717 1911 1
(FI-MELINDA)000700724 1900 1
(FI-MELINDA)000700731 1879 1
(FI-MELINDA)000700733 1901 1
(FI-MELINDA)000700738 1912 1
(FI-MELINDA)000700740 1910 1
(FI-MELINDA)000700745 1889 1
(FI-MELINDA)000700750 1860 1
(FI-MELINDA)000700751 1911 1
(FI-MELINDA)000700756 1881 1
(FI-MELINDA)000700766 1834 1
(FI-MELINDA)000700767 1910 1
(FI-MELINDA)000700768 1904 1
(FI-MELINDA)000700770 1871 1
(FI-MELINDA)000700796 1912 1
(FI-MELINDA)000700800 1905 1
(FI-MELINDA)000700811 1908 1
(FI-MELINDA)000700815 1913 1
(FI-MELINDA)000700820 1885 1
(FI-MELINDA)000700828 1847 1
(FI-MELINDA)000700832 1894 1
(FI-MELINDA)000700833 1895 1
(FI-MELINDA)000702565 1912 1
(FI-MELINDA)000702566 1916 1
(FI-MELINDA)000702838 1891 1
(FI-MELINDA)000702842 1910 1
(FI-MELINDA)000702847 1893 1
(FI-MELINDA)000702855 1914 1
(FI-MELINDA)000702856 1917 1
(FI-MELINDA)000702866 1904 1
(FI-MELINDA)000702915 1906 1
(FI-MELINDA)000702916 1915 1
(FI-MELINDA)000702917 1900 1
(FI-MELINDA)000702941 1911 1
(FI-MELINDA)000702948 1915 1
(FI-MELINDA)000702996 1908 1
(FI-MELINDA)000703024 1913 1
(FI-MELINDA)000703034 1917 1
(FI-MELINDA)000703079 1892 1
(FI-MELINDA)000703095 1895 1
(FI-MELINDA)000703214 1907 1
(FI-MELINDA)000703217 1917 1
(FI-MELINDA)000703251 1911 1
(FI-MELINDA)000703740 1893 1
(FI-MELINDA)000703745 1859 1
(FI-MELINDA)000703778 1889 1
(FI-MELINDA)000703779 1865 1
(FI-MELINDA)000703791 1896 1
(FI-MELINDA)000703796 1900 1
(FI-MELINDA)000703868 1910 1
(FI-MELINDA)000711363 1907 1
(FI-MELINDA)000711364 1907 1
(FI-MELINDA)000711365 1907 1
(FI-MELINDA)000711366 1917 1
(FI-MELINDA)000711367 1873 1
(FI-MELINDA)000711392 1903 1
(FI-MELINDA)000713364 1913 1
(FI-MELINDA)000713439 1914 1
