,0
1120,3006
1121,534k
1122,534x
1123,830l
1124,490y
1125,490ind2
1126,5369
1127,2578
1128,257a
1129,2572
1130,2570
1131,630n
1132,341ind1
1133,341a
1134,341b
1135,3412
1136,852b
1137,730g
1138,648ind1
1139,5303
1140,9605
1141,711t
1142,630f
1143,594f
1144,5939
1145,880s
1146,6106
1147,7116
1148,490w
1149,1116
1150,0808
1151,780w
1152,650g
1153,6306
1154,8562
1155,540ind1
1156,540ind2
1157,540z
1158,6536
1159,5169
1160,760n
1161,022m
1162,0727
1163,940n
1164,7005
1165,510u
1166,5979
1167,770k
1168,656ind2
1169,656a
1170,6562
1171,6560
1172,3829
1173,850e
1174,245t
1175,5679
1176,776k
1177,084b
1178,084q
1179,856i
1180,545a
1181,880r
1182,590ind2
1183,653c
1184,6535
1185,2226
1186,3626
1187,2106
1188,502g
1189,776y
1190,5919
1191,072b
1192,909b
1193,9095
1194,909c
1195,SYSa
1196,5403
1197,260d
1198,0848
1199,0840
1200,082b
1201,830r
1202,0279
1203,0429
1204,770n
1205,500ind2
1206,0609
1207,500q
1208,3002
1209,650f
1210,650h
1211,700r
1212,711ind2
1213,711g
1214,655ind1
1215,940f
1216,830y
1217,520ind2
1218,610p
1219,5202
1220,246c
1221,6481
1222,500c
1223,503a
1224,0846
1225,856c
1226,7405
1227,830c
1228,041f
1229,7200
1230,084y
1231,760g
1232,630r
1233,263a
1234,810c
1235,506c
1236,765k
1237,765z
1238,5063
1239,5833
1240,583j
1241,583k
1242,785z
1243,0845
1244,610e
1245,0206
1246,710u
1247,6486
1248,6506
1249,264t
1250,"908,"
1251,710h
1252,856F
1253,240i
1254,8106
1255,245e
1256,366c
1257,037b
1258,0375
1259,591x
1260,591y
1261,583z
1262,760b
1263,567ind1
1264,247p
1265,776n
1266,STAa
1267,2569
1268,787k
1269,6302
1270,0208
1271,247n
1272,596ind2
1273,3709
1274,5559
1275,344a
1276,344b
1277,340n
1278,711f
1279,7754
1280,040c
1281,856h
1282,762b
1283,600u
1284,710p
1285,490c
1286,630d
1287,584a
1288,2608
1289,856r
1290,856g
1291,856L
1292,100g
1293,653g
1294,LOWu
1295,591f
1296,591j
1297,591k
1298,591m
1299,856p
1300,306a
1301,352a
1302,031a
1303,2556
1304,542a
1305,5346
1306,9085
1307,7766
1308,931a
1309,933c
1310,7706
1311,111g
1312,730t
1313,856k
1314,773ind1
1315,7737
1316,773d
1317,773x
1318,7739
1319,3472
1320,648z
1321,655g
1322,588t
1323,8803
1324,610h
1325,773h
1326,773o
1327,773g
1328,773a
1329,773m
1330,533a
1331,533b
1332,533c
1333,533d
1334,533e
1335,533f
1336,533n
1337,542l
1338,542o
1339,542r
1340,542u
1341,583f
1342,583h
1343,583l
1344,773k
1345,040f
1346,7003
1347,250ind2
1348,658a
1349,024x
1350,591n
1351,591o
1352,7104
1353,080ind2
1354,651e
1355,610k
1356,856l
1357,773i
1358,777ind2
1359,777i
1360,2479
1361,5888
1362,8009
1363,255c
1364,9406
1365,5799
1366,500p
1367,904c
1368,366b
1369,5885
1370,049c
1371,0150
1372,513b
1373,767ind2
1374,767i
1375,542i
1376,583ind1
1377,594b
1378,0359
1379,5385
1380,506u
1381,775g
1382,773b
1383,246g
1384,591p
1385,856v
1386,610l
1387,8525
1388,787h
1389,347c
1390,3389
1391,348a
1392,1309
1393,710s
1394,243ind1
1395,243ind2
1396,243a
1397,243k
1398,243l
1399,243s
1400,700o
1401,5999
1402,5429
1403,3388
1404,5845
1405,0499
1406,049d
1407,3479
1408,5156
1409,048a
1410,655v
1411,800x
1412,600h
1413,902b
1414,902c
1415,5339
1416,542b
1417,542q
1418,542s
1419,6004
1420,973ind1
1421,9737
1422,973w
1423,973t
1424,973o
1425,9739
1426,246t
1427,753a
1428,7530
1429,7532
1430,3443
1431,3473
1432,5026
1433,8802
1434,773z
1435,777g
1436,7539
1437,753c
1438,340b
1439,542n
1440,830d
1441,041n
1442,904f
1443,245k
1444,034n
1445,381a
1446,111p
1447,776f
1448,382p
1449,5216
1450,5089
1451,380a
1452,593x
1453,593y
1454,591q
1455,591r
1456,6579
1457,046a
1458,046c
1459,046e
1460,3802
1461,3800
1462,2503
1463,037a
1464,774a
1465,630t
1466,FINind1
1467,FINind2
1468,FINl
1469,3482
1470,880q
1471,2648
1472,8808
1473,7768
1474,355ind1
1475,355a
1476,355e
1477,355f
1478,355h
1479,041m
1480,775n
1481,088z
1482,518p
1483,787n
1484,730m
1485,730r
1486,730s
1487,776m
1488,086a
1489,0862
1490,024c
1491,110t
1492,250d
1493,593c
1494,306c
1495,033p
1496,930p
1497,8006
1498,261a
1499,261b
1500,261c
1501,7750
1502,7105
1503,7209
1504,8568
1505,044c
1506,9100
1507,583u
1508,7756
1509,880z
1510,047a
1511,3868
1512,5463
1513,348b
1514,0333
1515,3483
1516,348c
1517,3823
1518,5183
1519,5203
1520,0412
1521,700u
1522,611h
1523,060c
1524,060d
1525,591h
1526,045c
1527,6112
1528,654a
1529,6542
1530,3369
1531,084d
1532,385ind2
1533,542c
1534,5625
1535,651g
1536,3442
1537,050h
1538,264x
1539,560ind2
1540,560a
1541,560x
1542,600o
1543,5219
1544,0409
1545,5068
1546,2639
1547,772s
1548,930k
1549,930s
1550,506d
1551,0432
1552,6472
1553,800q
1554,2429
1555,110g
1556,651ind1
1557,043e
1558,770h
1559,774ind2
1560,777s
1561,777h
1562,3380
1563,993a
1564,9939
1565,5459
1566,710q
1567,0459
1568,240b
1569,243h
1570,3419
1571,700m
1572,5479
1573,9309
1574,400ind1
1575,4004
1576,400a
1577,766ind1
1578,766ind2
1579,766i
1580,766o
1581,7669
1582,952b
1583,952c
1584,952o
1585,9528
1586,9529
1587,999c
1588,999d
1589,541q
1590,5412
1591,245s
1592,100u
1593,386b
1594,5859
1595,370c
1596,340a
1597,c84ind1
1598,c84ind2
1599,c84b
1600,3413
1601,856n
1602,856t
1603,264g
1604,0469
1605,614ind1
1606,614ind2
1607,614a
1608,246z
1609,246q
1610,0439
1611,245u
1612,940h
1613,506>
1614,2YSind1
1615,2YSind2
1616,2YSf
1617,050D
1618,930h
1619,930f
1620,5008
1621,3662
1622,338ind1
1623,010z
1624,490B
1625,8849
1626,506K
1627,3869
1628,730d
1629,930g
1630,033b
1631,033c
1632,800k
1633,800f
1634,6507
1635,779ind2
1636,779a
1637,7792
1638,7790
1639,502ind1
1640,385b
1641,502b
1642,245o
1643,564a
1644,0828
1645,641ind2
1646,641a
1647,505c
1648,505b
1649,1109
1650,9039
1651,045w
